iter	Passed	Remaining
0	0	77
1	1	70
2	2	67
3	2	66
4	3	64
5	4	62
6	4	60
7	5	59
8	5	57
9	6	55
10	6	54
11	7	53
12	7	52
13	8	51
14	9	51
15	9	51
16	10	51
17	11	51
18	11	50
19	12	50
20	13	49
21	13	48
22	14	47
23	15	48
24	16	48
25	16	48
26	17	47
27	18	47
28	19	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	24	43
36	25	42
37	26	42
38	27	42
39	27	41
40	29	41
41	30	41
42	32	43
43	34	44
44	35	43
45	39	46
46	40	45
47	44	47
48	46	48
49	49	49
50	54	52
51	58	54
52	59	53
53	61	52
54	62	51
55	63	49
56	64	48
57	66	48
58	68	47
59	68	45
60	69	44
61	69	42
62	70	41
63	71	40
64	71	38
65	72	37
66	73	36
67	73	34
68	74	33
69	75	32
70	75	31
71	76	29
72	79	29
73	80	28
74	81	27
75	82	25
76	82	24
77	83	23
78	84	22
79	84	21
80	85	20
81	86	18
82	86	17
83	87	16
84	87	15
85	88	14
86	89	13
87	90	12
88	90	11
89	92	10
90	93	9
91	95	8
92	96	7
93	96	6
94	97	5
95	98	4
96	98	3
97	99	2
98	100	1
99	100	0
