iter	Passed	Remaining
0	143	142993
1	146	73221
2	147	49180
3	149	37235
4	150	29990
5	154	25654
6	155	22116
7	156	19446
8	157	17375
9	158	15707
10	162	14636
11	163	13494
12	164	12516
13	167	11765
14	170	11169
15	177	10933
16	178	10342
17	182	9979
18	184	9508
19	185	9068
20	186	8671
21	186	8312
22	187	7983
23	189	7715
24	190	7433
25	191	7175
26	192	6936
27	193	6711
28	194	6502
29	195	6313
30	196	6138
31	203	6153
32	205	6014
33	206	5859
34	207	5711
35	208	5572
36	208	5438
37	209	5314
38	210	5197
39	212	5088
40	213	4993
41	218	4990
42	219	4890
43	220	4797
44	221	4704
45	222	4614
46	223	4529
47	224	4449
48	225	4373
49	226	4298
50	227	4227
51	228	4159
52	237	4240
53	238	4175
54	239	4113
55	240	4050
56	241	3988
57	242	3930
58	242	3873
59	243	3817
60	253	3899
61	254	3850
62	255	3797
63	256	3748
64	257	3701
65	258	3655
66	259	3608
67	264	3623
68	266	3592
69	267	3551
70	268	3508
71	269	3469
72	270	3429
73	270	3390
74	274	3379
75	275	3345
76	276	3309
77	277	3274
78	278	3241
79	279	3211
80	280	3180
81	281	3147
82	281	3112
83	283	3087
84	284	3060
85	285	3032
86	286	3003
87	287	2975
88	292	2998
89	294	2975
90	295	2949
91	296	2927
92	297	2903
93	298	2880
94	299	2856
95	301	2834
96	302	2811
97	302	2788
98	303	2764
99	306	2758
100	313	2790
101	314	2768
102	315	2748
103	316	2726
104	317	2704
105	318	2683
106	319	2663
107	320	2643
108	321	2624
109	322	2605
110	322	2586
111	328	2606
112	329	2589
113	330	2570
114	331	2551
115	332	2533
116	333	2513
117	333	2496
118	334	2479
119	335	2462
120	336	2446
121	337	2429
122	345	2465
123	346	2449
124	347	2434
125	348	2419
126	349	2402
127	350	2387
128	351	2372
129	352	2357
130	361	2397
131	362	2383
132	363	2369
133	364	2355
134	365	2341
135	366	2327
136	367	2313
137	368	2300
138	371	2301
139	372	2289
140	373	2275
141	374	2260
142	375	2247
143	376	2236
144	376	2222
145	377	2209
146	380	2206
147	381	2194
148	390	2231
149	391	2219
150	392	2207
151	393	2195
152	396	2195
153	397	2183
154	398	2171
155	399	2160
156	400	2149
157	405	2161
158	406	2150
159	407	2139
160	408	2126
161	409	2116
162	412	2116
163	413	2107
164	414	2096
165	415	2086
166	416	2075
167	423	2099
168	425	2092
169	426	2081
170	427	2071
171	428	2060
172	428	2050
173	429	2041
174	430	2031
175	431	2021
176	432	2011
177	442	2044
178	443	2035
179	444	2025
180	445	2015
181	446	2005
182	447	1998
183	448	1989
184	449	1980
185	450	1971
186	451	1964
187	452	1955
188	453	1946
189	454	1937
190	455	1928
191	456	1919
192	457	1912
193	458	1904
194	459	1895
195	466	1915
196	467	1906
197	468	1898
198	469	1889
